date,num
01,34
02,34
03,77
04,85
05,95
06,74
07,22
08,94
09,66
10,4
02,12
11,45
12,77
13,36
14,69
15,56
16,89
17,7
18,48
03,53
04,36
05,70
06,51
07,70
08,7
09,75
10,13
19,81
20,24
21,10
22,5
23,66
24,14
25,40
26,49
27,65
28,49
29,6
11,99
12,54
13,94
14,97
15,25
16,80
17,63
18,92
19,14
20,92
30,7
31,9
01,98
02,58
07,87
08,56
09,84
10,39
11,99
12,94
21,5
22,23
23,75
24,31
25,92
26,22
27,52
28,59
29,34
13,65
14,22
15,35
16,28
17,49
18,88
19,0
20,92
21,89
30,41
31,42
01,9
02,0
03,56
04,14
05,24
06,84
07,0
22,3
23,6
24,56
25,60
26,0
27,47
28,2
29,31
01,7
08,65
09,99
15,49
16,44
17,50
18,88
19,6
20,70
21,15
02,6
03,98
04,87
05,47
06,46
07,56
08,1
09,84
10,81
11,99
22,3
23,75
24,41
25,27
26,9
27,30
28,21
01,44
02,26
03,55
04,28
12,63
13,6
14,67
15,82
16,62
17,27
18,0
19,75
20,43
05,10
06,64
07,40
08,96
09,97
10,57
11,30
12,10
13,21
21,18
22,42
23,87
24,55
25,56
26,81
27,19
28,57
29,17
14,61
15,89
16,96
17,80
18,55
19,49
20,16
21,45
30,86
31,64
01,31
02,46
03,55
04,55
05,13
06,62
22,21
23,39
24,20
25,37
26,84
27,33
28,48
29,33
30,87
07,19
08,63
09,9
10,55
11,45
12,24
13,86
14,53
31,20
01,33
02,2
03,37
04,73
05,79
06,77
07,92
08,98
09,73
15,61
16,71
17,32
18,4
19,49
20,90
21,4
22,62
23,67
24,92
10,23
11,72
12,46
13,19
14,30
15,15
16,78
17,95
18,6
25,93
26,44
27,60
28,20
29,47
30,98
01,93
02,90
03,80
19,58
20,78
21,86
22,6
23,79
24,0
25,69
26,73
27,22
28,17
29,1
30,16
04,72
05,28
06,87
07,21
08,73
09,30
10,79
11,26
12,82
13,9
01,13
02,58
03,76
04,35
05,16
06,86
07,34
08,19
09,13
10,28
14,63
15,73
16,83
17,70
18,44
19,5
20,83
21,95
22,21
23,23
24,40
11,13
12,79
13,37
14,30
15,4
16,46
17,47
18,27
25,16
26,58
27,93
28,23
29,3
30,53
31,53
01,34
02,2
19,39
20,20
21,48
22,78
23,79
24,87
25,86
26,2
27,36
03,85
04,91
05,47
06,93
07,0
08,54
09,35
10,56
11,79
28,31
29,85
30,64
31,12
01,46
02,49
03,75
04,43
05,44
06,7
12,66
13,28
14,84
15,50
16,1
17,93
18,97
19,64
20,49
21,98
22,86
03,78
07,40
08,66
09,80
10,73
11,22
12,57
13,95
14,29
15,10
16,49
17,49
23,14
24,64
25,81
26,92
27,57
28,64
29,86
30,8
01,72
04,39
05,24
06,76
07,16
08,87
09,67
10,84
11,55
12,51
18,20
19,21
20,82
21,73
22,3
23,17
24,28
25,83
26,67
27,28
28,78
29,91
02,41
03,80
04,45
05,45
06,93
07,11
08,78
09,70
10,18
01,50
13,69
14,64
15,26
16,8
17,18
18,34
19,26
20,40
21,78
22,77
23,63
24,82
25,91
26,40
30,98
01,2
02,50
03,10
04,10
05,38
06,97
07,33
08,9
09,44
10,14
11,45
11,63
12,88
13,45
14,45
15,11
16,78
17,26
18,2
19,54
02,65
03,62
04,0
05,48
06,72
07,47
08,79
09,22
10,91
11,33
12,27
27,21
28,40
29,82
30,3
31,50
01,70
02,19
03,34
04,93
05,31
06,75
07,78
12,78
13,83
14,65
15,45
16,79
17,15
18,21
19,64
20,73
21,31
22,57
23,40
20,22
21,82
22,60
23,35
24,62
25,24
26,24
27,75
28,15
29,41
01,81
13,88
14,21
15,58
16,7
17,65
18,74
19,0
20,18
21,91
22,12
23,12
24,19
25,3
08,36
09,10
10,55
11,97
12,26
13,81
14,44
15,14
18,47
19,55
24,81
25,94
26,98
27,47
28,39
29,54
30,61
31,99
01,16
02,1
03,31
04,88
30,65
31,17
01,70
02,64
03,57
04,40
05,34
06,12
07,70
08,27
02,29
03,68
04,53
05,3
06,55
07,70
08,15
09,60
10,30
26,16
27,85
30,28
31,68
01,34
02,7
03,38
04,13
05,89
06,57
07,81
20,0
21,36
22,6
23,87
24,53
25,90
26,13
27,59
28,22
01,32
05,55
06,43
07,11
08,40
09,66
10,98
11,48
12,26
13,14
14,39
15,98
16,20
03,25
09,87
10,23
11,60
12,66
13,52
14,31
15,91
16,74
17,68
18,94
19,37
20,89
01,66
01,17
01,72
11,71
12,53
13,80
14,4
15,24
16,92
17,15
18,69
19,17
20,19
21,28
22,95
23,21
24,83
08,8
09,39
10,3
11,60
12,78
13,3
14,43
15,30
16,26
02,2
03,47
04,58
05,33
06,55
07,57
08,18
09,23
17,73
18,80
19,17
20,24
21,55
22,72
23,17
24,7
25,79
04,39
05,83
06,81
07,90
08,37
09,81
10,62
11,30
12,67
13,26
14,12
21,9
22,4
23,57
24,13
25,47
26,98
27,68
28,78
29,64
02,81
03,78
04,8
05,87
06,73
07,36
08,76
02,57
03,67
04,66
05,89
06,58
07,51
08,90
09,95
10,90
02,65
03,82
04,10
05,96
06,17
07,15
08,24
25,37
26,68
27,97
28,43
29,98
30,32
31,91
01,85
17,32
18,66
19,77
20,0
21,91
22,65
23,58
24,5
25,84
10,92
11,0
12,24
13,91
14,95
15,94
16,34
17,18
26,43
27,41
28,57
29,45
30,34
31,1
01,7
02,9
03,4
04,91
02,43
15,55
16,37
17,47
18,53
19,5
20,82
21,56
22,16
27,0
28,31
29,17
30,69
30,83
31,36
01,10
02,80
03,51
04,67
05,94
06,16
07,57
08,95
09,43
10,66
11,72
12,83
13,55
14,64
15,49
16,38
17,10
18,67
11,78
12,59
13,50
14,18
15,12
16,67
17,6
18,38
19,99
20,41
09,40
10,32
11,82
12,57
13,23
14,87
15,90
16,46
17,90
18,46
19,36
20,66
02,45
03,28
04,86
05,23
06,84
07,74
10,14
11,76
12,81
26,79
27,12
28,9
01,5
02,26
03,24
04,60
05,56
18,80
19,78
20,12
21,92
22,87
23,0
24,81
25,15
26,25
27,63
05,98
06,53
07,27
08,14
09,2
10,59
11,7
12,97
03,60
04,37
05,59
06,72
07,9
08,56
09,97
10,21
31,11
01,49
02,97
03,84
04,14
05,57
09,58
10,62
11,32
12,11
13,51
14,36
15,18
16,59
17,73
18,99
19,82
20,76
21,33
22,94
23,66
19,13
20,12
25,95
26,24
27,28
28,81
29,0
30,35
31,11
01,33
02,19
21,2
22,6
23,53
24,80
25,11
26,17
27,65
28,2
29,38
30,3
21,84
22,65
23,81
24,45
27,23
28,18
29,28
13,20
14,50
15,81
16,83
17,6
18,81
19,16
20,1
06,76
07,42
08,46
09,1
10,10
11,29
12,3
01,28
28,84
29,20
30,72
31,34
01,59
02,0
03,72
04,78
05,6
06,57
07,1
01,76
01,32
13,81
14,63
15,6
16,37
17,83
18,10
19,41
20,11
21,14
22,83
11,27
12,93
13,66
14,75
15,10
16,0
17,98
18,30
19,98
20,13
21,22
06,80
07,41
08,18
09,16
10,77
11,11
12,68
13,58
14,63
01,98
24,41
25,88
26,2
27,53
28,21
29,7
30,99
01,43
02,81
03,93
04,56
05,32
06,20
01,54
03,29
04,93
05,25
06,31
07,39
08,31
09,98
10,65
11,17
12,53
13,72
14,54
15,29
02,4
04,83
05,82
06,32
07,81
08,22
09,96
10,74
11,32
12,6
13,40
14,10
15,92
30,68
31,57
01,98
02,94
03,22
04,62
05,3
06,16
07,20
08,64
09,24
21,2
22,57
23,35
24,38
25,81
26,66
27,21
28,34
01,27
13,9
14,56
15,28
16,19
17,70
18,45
19,44
20,30
21,8
22,48
23,44
24,0
02,27
03,24
04,82
05,42
06,3
07,7
08,65
09,94
10,41
11,85
12,25
08,11
09,92
10,80
11,63
12,17
13,55
14,89
15,36
16,90
02,25
03,64
04,13
05,1
06,5
07,8
08,46
09,62
10,95
11,43
12,76
13,91
02,57
03,76
04,29
05,67
06,57
07,45
08,91
09,83
10,14
11,23
23,73
24,46
25,16
26,6
27,78
28,91
29,56
30,70
01,82
02,91
22,93
23,98
24,64
25,31
26,38
27,94
28,60
29,88
30,74
31,99
01,78
02,49
15,94
16,78
17,2
18,5
19,55
20,15
21,43
22,64
23,15
02,15
03,55
04,9
05,44
06,93
07,60
08,6
09,67
10,70
11,80
12,73
07,89
08,92
09,36
10,84
11,83
12,8
13,12
14,22
02,32
03,91
04,26
05,82
06,50
07,71
08,26
09,95
10,45
11,43
16,14
17,85
18,0
19,61
20,95
21,67
03,81
04,63
05,26
06,66
07,34
08,32
16,90
17,64
18,51
19,89
20,97
21,17
22,59
23,61
10,86
11,56
12,56
13,78
14,82
15,3
16,39
17,79
02,89
03,7
04,10
05,53
06,58
07,42
08,5
25,43
26,46
27,52
28,43
29,11
30,30
31,92
13,22
14,70
15,30
16,43
17,88
18,35
19,17
20,85
17,43
18,74
19,97
20,29
21,47
22,73
23,30
24,71
14,88
15,6
16,62
17,91
18,58
19,33
20,56
12,72
13,65
14,74
15,70
16,26
17,39
18,65
03,77
04,74
05,58
06,37
07,89
08,4
09,74
10,22
03,79
04,58
05,25
08,88
09,48
10,64
11,2
24,60
25,23
26,71
27,94
28,17
01,93
02,12
03,88
13,40
14,17
15,71
16,91
17,31
18,78
19,61
15,75
16,20
17,94
18,15
19,55
20,75
21,72
22,73
12,2
13,25
14,4
15,11
16,16
17,15
22,6
23,45
24,54
25,32
26,91
27,56
09,25
10,64
11,89
12,93
13,15
14,20
15,37
24,12
25,62
26,89
27,87
28,8
